collect_time,used_value
2021/6/2,91475882775567.00
2021/6/3,91793166730143.00
2021/6/4,92305693118120.00
2021/6/5,92652837498334.00
2021/6/6,93235434358199.00
2021/6/7,93722072188220.00
2021/6/8,94168351208138.00
2021/6/9,94781345628853.00
2021/6/10,96309241792032.00
2021/6/11,97754738655407.00
2021/6/12,99372327346501.00
2021/6/13,100918864349069.00
2021/6/14,102463333073726.00
2021/6/15,104238536534574.00
2021/6/16,105990588152785.00
2021/6/17,107803310055920.00
2021/6/18,109685350820461.00
2021/6/19,111556953521866.00
2021/6/20,113569802130132.00
2021/6/21,115308855448657.00
2021/6/22,117273716247831.00
2021/6/23,119205430985449.00
2021/6/24,120850015306045.00
2021/6/25,122670429207414.00
2021/6/26,124592702460018.00
2021/6/27,126136840374113.00
2021/6/28,127724358753789.00
2021/6/29,129088310279635.00
2021/6/30,130036621049436.00
2021/7/1,130625397839229.00
2021/7/2,131107325324961.00
2021/7/3,131552488524518.00
2021/7/4,131467880649081.00
2021/7/5,130962264486467.00
2021/7/6,130487571333851.00
2021/7/7,130138221983770.00
2021/7/8,129582754008661.00
2021/7/9,128910833549954.00
2021/7/10,128899751060962.00
2021/7/11,128791754087254.00
2021/7/12,128598963605851.00
2021/7/13,128262638317665.00
2021/7/14,128509486429172.00
2021/7/15,129026728400390.00
2021/7/16,129018704087929.00
2021/7/17,129391596099777.00
2021/7/18,129620253005364.00
2021/7/19,129811462411120.00
2021/7/20,129951888636972.00
2021/7/21,130343734970335.00
2021/7/22,130251665187262.00
2021/7/23,130497349107699.00
2021/7/24,130681785583888.00
2021/7/25,131148824327778.00
2021/7/26,131583016291910.00
2021/7/27,131638750516629.00
2021/7/28,131611533868045.00
2021/7/29,131701560331426.00
2021/7/30,131538790299759.00
2021/7/31,131186711183136.00
2021/8/1,131315996759815.00
2021/8/2,131145276846719.00
2021/8/3,130661712012025.00
2021/8/4,130441078787012.00
2021/8/5,130038939978836.00
2021/8/6,130083129382975.00
2021/8/7,130304745478136.00
2021/8/8,130196739867759.00
2021/8/9,130736613832717.00
2021/8/10,130663872460500.00
2021/8/11,130692461056991.00
2021/8/12,130833583146774.00
2021/8/13,130968994672574.00
2021/8/14,131051935807117.00
2021/8/15,131627386989269.00
2021/8/16,131388381019806.00
2021/8/17,131499175989442.00
2021/8/18,131722438272910.00
2021/8/19,131572208031765.00
2021/8/20,131469913438378.00
2021/8/21,131277103650405.00
2021/8/22,131422873681601.00
2021/8/23,131811796453870.00
2021/8/24,131910763316252.00
2021/8/25,131867407616156.00
2021/8/26,131737633118623.00
2021/8/27,131556770317139.00
2021/8/28,131742112951297.00
2021/8/29,131989881774142.00
2021/8/30,132139629980341.00
2021/8/31,132257270768821.00
2021/9/1,132450510202601.00
2021/9/2,132300358555411.00
2021/9/3,132405819529580.00
2021/9/4,132822048917962.00
2021/9/5,133465413066986.00
2021/9/6,133515857049420.00
2021/9/7,132775625951523.00
2021/9/8,124555720122461.00
2021/9/9,121291764065841.00
2021/9/10,119729994970266.00
2021/9/11,119467775990115.00
2021/9/12,119070958406882.00
2021/9/13,118380037055365.00
2021/9/14,117650476655364.00
2021/9/15,116472718114858.00
2021/9/16,114684238061127.00
2021/9/17,113546176060071.00
2021/9/18,111360156860147.00
2021/9/19,110116849961385.00
2021/9/20,109296258558111.00
2021/9/21,108134781732077.00
2021/9/22,106932051047218.00
2021/9/23,105692577830054.00
2021/9/24,104219595806953.00
2021/9/25,102905392810101.00
2021/9/26,101638661831271.00
2021/9/27,100469664367176.00
2021/9/28,99782315841048.00
2021/9/29,97933666327611.00
2021/9/30,96896739307977.00
2021/10/1,95677839341862.00
2021/10/2,93914365167164.00
2021/10/3,92625614250850.00
2021/10/4,91747683701939.00
2021/10/5,90343999128389.00
2021/10/6,89170764327819.00
2021/10/7,87946126701693.00
2021/10/8,86633697740809.00
2021/10/9,86008561847242.00
2021/10/10,85076012612506.00
2021/10/11,84367132990714.00
2021/10/12,84068559152226.00
2021/10/13,83698651439063.00
2021/10/14,83615921852845.00
2021/10/15,83494650786571.00
2021/10/16,83269832553709.00
2021/10/17,83185275617227.00
2021/10/18,83522070544965.00
2021/10/19,83361242151635.00
2021/10/20,83387006392980.00
2021/10/21,83337558708537.00
2021/10/22,83213343673708.00
2021/10/23,83548600448770.00
2021/10/24,83761740915981.00
2021/10/25,83631436478326.00
2021/10/26,83803211041481.00
2021/10/27,83495175481198.00
2021/10/28,83561246305693.00
2021/10/29,83610887274944.00
2021/10/30,83581970754342.00
2021/10/31,83736896858508.00
2021/11/1,83784869331779.00
2021/11/2,83972491817162.00
2021/11/3,84358669836448.00
2021/11/4,84162957802366.00
2021/11/5,83996775680635.00
2021/11/6,84284006501273.00
2021/11/7,84051484614177.00
2021/11/8,83866908299745.00
2021/11/9,84136960239272.00
2021/11/10,84153794397505.00
2021/11/11,84437318163257.00
2021/11/12,84582433141579.00
2021/11/13,84450408339752.00
2021/11/14,84765462269071.00
2021/11/15,84635621978673.00
2021/11/16,84776594817048.00
2021/11/17,85124911696929.00
2021/11/18,84863309720315.00
2021/11/19,84940715039769.00
2021/11/20,85333937431680.00
2021/11/21,85317285816166.00
2021/11/22,85316970552001.00
2021/11/23,85132144587120.00
2021/11/24,85313340335340.00
2021/11/25,85243350903414.00
2021/11/26,85618205871189.00
2021/11/27,85569477896509.00
2021/11/28,85975641309579.00
2021/11/29,85513090108011.00
2021/11/30,85636651740477.00
2021/12/1,86225982557823.00
2021/12/2,86042654696219.00
2021/12/3,86147981770820.00
2021/12/4,86236616940285.00
2021/12/5,86245694666755.00
2021/12/6,86460980645218.00
2021/12/7,86487060890721.00
2021/12/8,86632620887278.00
2021/12/9,86783665457111.00
2021/12/10,86678299974764.00
2021/12/11,86329272044982.00
2021/12/12,86790603916101.00
2021/12/13,86367079289808.00
2021/12/14,86524722151887.00
2021/12/15,86690994218613.00
2021/12/16,86818687489766.00
2021/12/17,86932714639781.00
2021/12/18,87016827036285.00
2021/12/19,87256452507354.00
2021/12/20,86839629645693.00
2021/12/21,86932976191040.00
2021/12/22,86937453275438.00
2021/12/23,87461520142924.00
2021/12/24,87042796581369.00
2021/12/25,86874021794233.00
2021/12/26,87347377167846.00
2021/12/27,87368609206529.00
2021/12/28,87214026260606.00
2021/12/29,87457562617691.00
2021/12/30,87471946501742.00
2021/12/31,87511911581891.00
2022/1/1,87374641409343.00
2022/1/2,87453637188856.00
2022/1/3,87499322108854.00
2022/1/4,87431273552638.00
2022/1/5,87475108420418.00
2022/1/6,87979312197514.00
2022/1/7,87561439872896.00
2022/1/8,87404706349105.00
2022/1/9,87662510061765.00
2022/1/10,87736183115951.00
2022/1/11,87423076114047.00
2022/1/12,87485323182926.00
2022/1/13,87477075363493.00
2022/1/14,87834025220193.00
2022/1/15,87922735458542.00
2022/1/16,88129191221145.00
2022/1/17,88577218752110.00
2022/1/18,88232510183296.00
2022/1/19,88109908193134.00
2022/1/20,88620958063343.00
2022/1/21,88516216406096.00
2022/1/22,88466103441186.00
2022/1/23,88787453731364.00
2022/1/24,88938586512858.00
2022/1/25,88876065345981.00
2022/1/26,88934086208480.00
2022/1/27,89072940372166.00
2022/1/28,89504637975699.00
2022/1/29,89384582621989.00
2022/1/30,89321499101719.00
2022/1/31,89749664733023.00
2022/2/1,89647917040646.00
2022/2/2,89483765775834.00
2022/2/3,89671133897970.00
2022/2/4,89725718209257.00
2022/2/5,89959869063808.00
2022/2/6,89987581551694.00
2022/2/7,90184410754724.00
2022/2/8,90317347610989.00
2022/2/9,89837455407275.00
2022/2/10,89940834939141.00
2022/2/11,90453237086993.00
2022/2/12,90362313854469.00
2022/2/13,90605686221751.00
2022/2/14,90868839924712.00
2022/2/15,90684886682782.00
2022/2/16,90764400889474.00
2022/2/17,90765521309431.00
2022/2/18,90684509234169.00
2022/2/19,91041906428018.00
2022/2/20,91050201172521.00
2022/2/21,90856697570738.00
2022/2/22,91243349205688.00
2022/2/23,90904212471049.00
2022/2/24,91104268761143.00
2022/2/25,91365345366918.00
2022/2/26,91360969959451.00
2022/2/27,91534688685314.00
2022/2/28,91725658592308.00
2022/3/1,91411687502389.00
2022/3/2,91644476445889.00
2022/3/3,91733756273291.00
2022/3/4,91957657725559.00
2022/3/5,92152682992265.00
2022/3/6,91861458143360.00
2022/3/7,92075756684156.00
2022/3/8,92241951352130.00
2022/3/9,92245439491594.00
2022/3/10,92248775508421.00
2022/3/11,92352939571024.00
2022/3/12,92434364660774.00
2022/3/13,92541656785978.00
2022/3/14,92646330076001.00
2022/3/15,92691908227989.00
2022/3/16,92758934527033.00
2022/3/17,92879311739113.00
2022/3/18,92769374537175.00
2022/3/19,93291648010144.00
2022/3/20,93011440284584.00
2022/3/21,93211800634972.00
2022/3/22,93733045508808.00
2022/3/23,93476858286343.00
2022/3/24,93522625901035.00
2022/3/25,93457696713354.00
2022/3/26,93257067414639.00
2022/3/27,93360781992124.00
2022/3/28,93513363086466.00
2022/3/29,93772966342023.00
2022/3/30,94355107023892.00
2022/3/31,93876860293548.00
2022/4/1,94032352622186.00
2022/4/2,94331385279339.00
2022/4/3,94130957010022.00
2022/4/4,94243520020900.00
2022/4/5,94585814070559.00
2022/4/6,94666464442024.00
2022/4/7,94664386503897.00
2022/4/8,94606605676096.00
2022/4/9,94474437568533.00
2022/4/10,94615977585150.00
2022/4/11,94463428554729.00
2022/4/12,94683290663535.00
2022/4/13,95113203295144.00
2022/4/14,94876501222315.00
2022/4/15,94967312659711.00
2022/4/16,95332505398655.00
2022/4/17,95297599029122.00
2022/4/18,95234498689167.00
2022/4/19,95578991594493.00
2022/4/20,95489627203650.00
2022/4/21,95654644036936.00
2022/4/22,95536906552498.00
2022/4/23,95277904310946.00
2022/4/24,95659288989981.00
2022/4/25,95387681348725.00
2022/4/26,95206981687569.00
2022/4/27,95781869716334.00
2022/4/28,95787850962586.00
2022/4/29,96138923010041.00
2022/4/30,96387965261643.00
2022/5/1,96652854492526.00
2022/5/2,96685679137473.00
2022/5/3,96571245412295.00
2022/5/4,96427315641661.00
2022/5/5,96468528906098.00
2022/5/6,96540242101002.00
2022/5/7,96523931753703.00
